,record_name,ref_code,ref_name,ref_unit
118,"Болт DIN 933 с полн. рез., цинк, М8*30",25.94.11.110.01.7.15.02-0002-000,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М8, диаметр 10 мм, длина 100 мм",100 шт
119,Болт М8*60 полнонарезной DIN933 цинк,25.94.11.110.01.7.15.02-0002-000,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М8, диаметр 10 мм, длина 100 мм",100 шт
120,Наконечник кабельный кольцевой 4кв.мм под болт М8 2СТЕ8М DKC,25.94.11.110.01.7.15.02-0002-000,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М8, диаметр 10 мм, длина 100 мм",100 шт
121,"110302-00173 Болт консольный (1 шайба, 1 гайка) ССД",25.94.11.190.08.4.01.01-0025-000,"Болты анкерные фундаментные стальные в комплекте с двумя гайками М12 и шайбами М12, тип 1, диаметр М12",т
122,"Болт консольный (1 шайба, 1 гайка) ССД",25.94.11.190.08.4.01.01-0025-000,"Болты анкерные фундаментные стальные в комплекте с двумя гайками М12 и шайбами М12, тип 1, диаметр М12",т
123,"Болт консольный (1 шайба, 1 гайка) ССД — в наличии —",25.94.11.190.08.4.01.01-0025-000,"Болты анкерные фундаментные стальные в комплекте с двумя гайками М12 и шайбами М12, тип 1, диаметр М12",т
124,"Болт консольный (1 шайба, 1 гайка) ССД — в наличии —",25.94.11.190.08.4.01.01-0025-000,"Болты анкерные фундаментные стальные в комплекте с двумя гайками М12 и шайбами М12, тип 1, диаметр М12",т
125,"Болт консольный (1 шайба, 1 гайка) ССД— в наличии —",25.94.11.190.08.4.01.01-0025-000,"Болты анкерные фундаментные стальные в комплекте с двумя гайками М12 и шайбами М12, тип 1, диаметр М12",т
126,"Болт консольный (1 шайба, 1 гайка) ССД(срок постаки 14 дней поставка к поставщику + 4 недели до Клд)",25.94.11.190.08.4.01.01-0025-000,"Болты анкерные фундаментные стальные в комплекте с двумя гайками М12 и шайбами М12, тип 1, диаметр М12",т
127,Болт стальной однорас. в компл. с гайкой и шайбой 8х 90,25.94.11.190.08.4.01.01-0025-000,"Болты анкерные фундаментные стальные в комплекте с двумя гайками М12 и шайбами М12, тип 1, диаметр М12",т
